INPUT:image	INPUT:selection	INPUT:assignment_id
https://tlk.s3.yandex.net/sdc/photos/67a10c702014f3b591b0d5ed7a322cf6.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.25375,""y"":0.48098},""p2"":{""x"":0.25375,""y"":0.48098}}}]"	00014d7907--603b93d5cbcf512b7fd48df9
https://tlk.s3.yandex.net/sdc/photos/87a53411390f2ad3b16c8d3894490687.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.45391,""y"":0.40941},""p2"":{""x"":0.48672,""y"":0.46353}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.67031,""y"":0.56118},""p2"":{""x"":0.69375,""y"":0.60353}}}]"	00014d7907--603b93dc552df05f03c74287
https://tlk.s3.yandex.net/sdc/photos/50c27cbfda03aa04f9583d6684b459e5.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.825,""y"":0.52588},""p2"":{""x"":0.85781,""y"":0.58824}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.58906,""y"":0.28941},""p2"":{""x"":0.6,""y"":0.34118}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.33359,""y"":0.48353},""p2"":{""x"":0.34922,""y"":0.51529}}}]"	00014d7907--603b93dc8f3a5b0301762657
https://tlk.s3.yandex.net/sdc/photos/68a8377b4755e6f7e1d2401778480e3f.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.96583,""y"":0.45606},""p2"":{""x"":0.9938,""y"":0.5513}}}]"	00014d7907--603b93dd552df05f03c742c3
https://tlk.s3.yandex.net/sdc/photos/94b2b799453046e9f7dd4d892f04e67b.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.06098,""y"":0.84739},""p2"":{""x"":0.2622,""y"":0.84739}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.17073,""y"":0.93659},""p2"":{""x"":0.04573,""y"":0.98676}}}]"	00014d7907--603b93dd71fc4c65e3123094
https://tlk.s3.yandex.net/sdc/photos/89a050d8b9ebd4bedb11e9074148111b.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.58611,""y"":0.20078},""p2"":{""x"":0.60278,""y"":0.22588}}}]"	00014d7907--603b93ddcef1653f006f0ca5
https://tlk.s3.yandex.net/sdc/photos/72ec3c92bc577defb7b5c11d48c5f697.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.38828,""y"":0.49529},""p2"":{""x"":0.38047,""y"":0.52353}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.4875,""y"":0.59647},""p2"":{""x"":0.475,""y"":0.63294}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.24121,""y"":0.62937},""p2"":{""x"":0.23499,""y"":0.64341}}}]"	00014d7907--603b93debfb3845c39f15880
https://tlk.s3.yandex.net/sdc/photos/56f447ffb7e3c1a7951327f94592bf93.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.12109,""y"":0.5},""p2"":{""x"":0.14609,""y"":0.62963}}}]"	00014d7907--603b93decbcf512b7fd48eb3
https://tlk.s3.yandex.net/sdc/photos/42fff24b2232b7157303ae7f83f60b89.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.38826,""y"":0.39942},""p2"":{""x"":0.44244,""y"":0.51329}}}]"	00014d7907--603b93df322af671cc669e52
https://tlk.s3.yandex.net/sdc/photos/75fa6755770d4052b6bfea556fc9a847.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.82897,""y"":0.57056},""p2"":{""x"":0.82324,""y"":0.54591}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.82079,""y"":0.47814},""p2"":{""x"":0.87152,""y"":0.54222}}}]"	00014d7907--603b93e16d041c462a84aebd
https://tlk.s3.yandex.net/sdc/photos/96d19bde3e2ec4fef0ac64234dcd0ff9.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.10965,""y"":0.61802},""p2"":{""x"":0.17857,""y"":0.5213}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.74613,""y"":0.57792},""p2"":{""x"":0.81192,""y"":0.493}}}]"	00014d7907--603b93e25563fe2270aa5834
https://tlk.s3.yandex.net/sdc/photos/011debbc124c9b3c84ab4469eef7f499.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.57656,""y"":0.53614},""p2"":{""x"":0.56711,""y"":0.55037}}}]"	00014d7907--603b93e9552df05f03c743e5
https://tlk.s3.yandex.net/sdc/photos/97bc142ed77f7a006f70e786be07a081.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.22734,""y"":0.59647},""p2"":{""x"":0.26016,""y"":0.65412}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.92344,""y"":0.37647},""p2"":{""x"":0.99297,""y"":0.52941}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.62969,""y"":0.55294},""p2"":{""x"":0.68359,""y"":0.61647}}}]"	00014d7907--603b93ecdc3e427f2b45e813
https://tlk.s3.yandex.net/sdc/photos/73b07258c050f160b015a7ade0098c0a.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.35469,""y"":0.30353},""p2"":{""x"":0.36719,""y"":0.36118}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.4625,""y"":0.53059},""p2"":{""x"":0.46797,""y"":0.54824}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.60703,""y"":0.54353},""p2"":{""x"":0.62187,""y"":0.60353}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.63047,""y"":0.54118},""p2"":{""x"":0.63984,""y"":0.59529}}}]"	00014d7907--603b93ecdc3e427f2b45e81d
https://tlk.s3.yandex.net/sdc/photos/74c724a2aa9cb2abbd3cffe0c65b5e0b.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0,""y"":0.4107},""p2"":{""x"":0.06571,""y"":0.5964}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.31143,""y"":0.50151},""p2"":{""x"":0.32403,""y"":0.54489}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.36814,""y"":0.55709},""p2"":{""x"":0.38614,""y"":0.62486}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.17282,""y"":0.61673},""p2"":{""x"":0.19172,""y"":0.64655}}}]"	00014d7907--603b93f171fc4c65e3123169
https://tlk.s3.yandex.net/sdc/photos/77cfcd8a88730dba788c3210262f63ac.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.06574,""y"":0.35144},""p2"":{""x"":0.05595,""y"":0.3647}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.90311,""y"":0.06482},""p2"":{""x"":0.92563,""y"":0.06863}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.92081,""y"":0.06863},""p2"":{""x"":0.96424,""y"":0.2669}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.96409,""y"":0.44229},""p2"":{""x"":0.88849,""y"":0.40797}}}]"	00014d7907--603b93f18f3a5b0301762720
https://tlk.s3.yandex.net/sdc/photos/66e236cd1d3dc91a0cf8aee50fa70e5a.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.3875,""y"":0.35294},""p2"":{""x"":0.37578,""y"":0.40706}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.59375,""y"":0.53529},""p2"":{""x"":0.56875,""y"":0.6}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.22188,""y"":0.60471},""p2"":{""x"":0.20703,""y"":0.63059}}}]"	00014d7907--603b93f405fe9e7bbc0c15a8
https://tlk.s3.yandex.net/sdc/photos/57b7a6c68ce49d49e663a0c09b280edd.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.59303,""y"":0.60774},""p2"":{""x"":0.59999,""y"":0.62252}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.50822,""y"":0.5073},""p2"":{""x"":0.49334,""y"":0.53018}}}]"	00014d7907--603b93f5e6297e139aa0a2f0
https://tlk.s3.yandex.net/sdc/photos/047b88371e82efc80ee5c82414491e27.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.16016,""y"":0.59765},""p2"":{""x"":0.18672,""y"":0.65529}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.43672,""y"":0.62706},""p2"":{""x"":0.44844,""y"":0.64824}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.68906,""y"":0.54706},""p2"":{""x"":0.72188,""y"":0.62118}}}]"	00014d7907--603b93f77dc9ce73e6d7aac2
https://tlk.s3.yandex.net/sdc/photos/60a3fb59b78411a20106c36c79718af2.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.30601,""y"":0.52668},""p2"":{""x"":0.3306,""y"":0.77767}}}]"	00014d7907--603b93fa7d73695f74869b25
https://tlk.s3.yandex.net/sdc/photos/49f89a0d62cbf22772d6e39fd19ff3b7.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.55451,""y"":0.39581},""p2"":{""x"":0.57656,""y"":0.48543}}}]"	00014d7907--603b93fb3c636f34071e5d3c
https://tlk.s3.yandex.net/sdc/photos/61d9bf2d60d8ee0e3cc572cdc6b092b3.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.612,""y"":0.61802},""p2"":{""x"":0.6264,""y"":0.65896}}}]"	00014d7907--603b93fd61baae35d7d97f4d
https://tlk.s3.yandex.net/sdc/photos/79f9a52e7ceb003f962a837db9a5298f.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.69707,""y"":0.63031},""p2"":{""x"":0.71417,""y"":0.59352}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.66368,""y"":0.61805},""p2"":{""x"":0.67671,""y"":0.58126}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.35423,""y"":0.63767},""p2"":{""x"":0.37215,""y"":0.59843}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.53094,""y"":0.49174},""p2"":{""x"":0.54642,""y"":0.45127}}}]"	00014d7907--603b93fda969b659d6d72d00
https://tlk.s3.yandex.net/sdc/photos/60b73d8e00664267dc55e12c1735582d.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.85597,""y"":0.52496},""p2"":{""x"":0.87561,""y"":0.55824}}}]"	00014d7907--603b93fe0ed6b503777d8d9c
https://tlk.s3.yandex.net/sdc/photos/50fe8dd762c78e4a41fff147d278ff84.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.6633,""y"":0.61972},""p2"":{""x"":0.63802,""y"":0.5847}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.64307,""y"":0.60449},""p2"":{""x"":0.68554,""y"":0.6456}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.63802,""y"":0.5649},""p2"":{""x"":0.7179,""y"":0.67758}}}]"	00014d7907--603b9400bfb3845c39f15a49
https://tlk.s3.yandex.net/sdc/photos/58aec2d42a643800d10719e3b16cecb9.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.13258,""y"":0.68942},""p2"":{""x"":0.20094,""y"":0.6052}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.54101,""y"":0.67545},""p2"":{""x"":0.60226,""y"":0.58594}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.83584,""y"":0.65375},""p2"":{""x"":0.89348,""y"":0.48014}}}]"	00014d7907--603b940171fc4c65e3123252
https://tlk.s3.yandex.net/sdc/photos/37bb89ba2819bb4a34242135bc6f003f.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.42427,""y"":0.45127},""p2"":{""x"":0.45358,""y"":0.48806}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.11564,""y"":0.49542},""p2"":{""x"":0.14332,""y"":0.53221}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.55782,""y"":0.59107},""p2"":{""x"":0.58306,""y"":0.63276}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.24919,""y"":0.58739},""p2"":{""x"":0.27362,""y"":0.6205}}}]"	00014d7907--603b94038f3a5b03017627d5
https://tlk.s3.yandex.net/sdc/photos/90d8ac849126250bdfbc0eab77d651d7.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.35052,""y"":0.34784},""p2"":{""x"":0.38802,""y"":0.39725}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.34952,""y"":0.34843},""p2"":{""x"":0.37315,""y"":0.38223}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.5037,""y"":0.52546},""p2"":{""x"":0.51434,""y"":0.56015}}}]"	00014d7907--603b940461baae35d7d98095
https://tlk.s3.yandex.net/sdc/photos/89fb72a976caac9863cd718a1e3ea627.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.4373,""y"":0.10178},""p2"":{""x"":0.46987,""y"":0.19743}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.78257,""y"":0.48071},""p2"":{""x"":0.83062,""y"":0.569}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.20033,""y"":0.57881},""p2"":{""x"":0.15879,""y"":0.64258}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.90879,""y"":0.55306},""p2"":{""x"":0.87134,""y"":0.62295}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.3633,""y"":0.60458},""p2"":{""x"":0.37438,""y"":0.63518}}}]"	00014d7907--603b94050ed6b503777d8e06
https://tlk.s3.yandex.net/sdc/photos/94f3273cd98df2bad9e730edee430df3.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.1,""y"":0.59059},""p2"":{""x"":0.12031,""y"":0.64}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.63281,""y"":0.42471},""p2"":{""x"":0.6625,""y"":0.53882}}}]"	00014d7907--603b9405dc3e427f2b45e984
https://tlk.s3.yandex.net/sdc/photos/88a471d4011d2ced1aeb067f1953fec3.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.25234,""y"":0.59765},""p2"":{""x"":0.22969,""y"":0.64824}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.81484,""y"":0.36706},""p2"":{""x"":0.76563,""y"":0.54235}}}]"	00014d7907--603b9407322af671cc66a18f
https://tlk.s3.yandex.net/sdc/photos/58fbe5d514ccb592bc238d7313c0bea5.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.41588,""y"":0.59782},""p2"":{""x"":0.39068,""y"":0.56935}}}]"	00014d7907--603b9408462de9226e233718
https://tlk.s3.yandex.net/sdc/photos/51ed99212a2db5e4f063948acf814a5d.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.19297,""y"":0.55926},""p2"":{""x"":0.16484,""y"":0.48333}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.83906,""y"":0.54074},""p2"":{""x"":0.81406,""y"":0.40741}}}]"	00014d7907--603b9408552df05f03c7461b
https://tlk.s3.yandex.net/sdc/photos/83c0fa6d587b3956e653a78ffee97b7d.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.5394,""y"":0.12949},""p2"":{""x"":0.5548,""y"":0.21619}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.27955,""y"":0.58438},""p2"":{""x"":0.30295,""y"":0.64068}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.43657,""y"":0.62379},""p2"":{""x"":0.44458,""y"":0.65081}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.64628,""y"":0.61194},""p2"":{""x"":0.65806,""y"":0.65306}}}]"	00014d7907--603b94090ed6b503777d8e34
https://tlk.s3.yandex.net/sdc/photos/73a85fb1b0f4e2e3fcb6eab9d81f7f7c.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.45928,""y"":0.37157},""p2"":{""x"":0.4886,""y"":0.44637}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.66042,""y"":0.57268},""p2"":{""x"":0.68567,""y"":0.62173}}}]"	00014d7907--603b940949078523cb0a736d
https://tlk.s3.yandex.net/sdc/photos/47f3cdb070410e34a2cf958824f5c1ed.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.08516,""y"":0.63294},""p2"":{""x"":0.10078,""y"":0.57294}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.25313,""y"":0.64588},""p2"":{""x"":0.23594,""y"":0.60353}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.79297,""y"":0.53647},""p2"":{""x"":0.76328,""y"":0.43059}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.73508,""y"":0.63431},""p2"":{""x"":0.72532,""y"":0.6026}}}]"	00014d7907--603b940cbfb3845c39f15ac9
https://tlk.s3.yandex.net/sdc/photos/44a615847f37a1f166897b9cdaff8ce7.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.59738,""y"":0.49416},""p2"":{""x"":0.63257,""y"":0.53605}}}]"	00014d7907--603b940f43e6010d0db57e28
https://tlk.s3.yandex.net/sdc/photos/76c6ba623478ff2eef1b073e726c1683.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.31814,""y"":0.69069},""p2"":{""x"":0.41623,""y"":0.66674}}}]"	00014d7907--603b940fcef1653f006f0f22
https://tlk.s3.yandex.net/sdc/photos/61af23f058452fde125c10fb7ce2b245.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.15228,""y"":0.27603},""p2"":{""x"":0.21254,""y"":0.16793}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.4145,""y"":0.53855},""p2"":{""x"":0.4316,""y"":0.55785}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.86564,""y"":0.52696},""p2"":{""x"":0.96254,""y"":0.60997}}}]"	00014d7907--603b941144796245da1b7c06
https://tlk.s3.yandex.net/sdc/photos/039f4c147a7755079ccf1f52bd651947.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.52162,""y"":0.62005},""p2"":{""x"":0.53639,""y"":0.65029}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.34027,""y"":0.63428},""p2"":{""x"":0.36035,""y"":0.6583}}}]"	00014d7907--603b941254b7e0182020ecdc
https://tlk.s3.yandex.net/sdc/photos/37c2dec6d64b8ff777f9db625f03d71f.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.82506,""y"":0.30254},""p2"":{""x"":0.95824,""y"":0.56258}}}]"	00014d7907--603b941444796245da1b7c78
https://tlk.s3.yandex.net/sdc/photos/38e7afcb2f456ca8a33a072dba9756d7.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.14609,""y"":0.60588},""p2"":{""x"":0.12734,""y"":0.56471}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.84219,""y"":0.62118},""p2"":{""x"":0.80469,""y"":0.54118}}}]"	00014d7907--603b9414552df05f03c7468e
https://tlk.s3.yandex.net/sdc/photos/66f2bbb4c3c79ffa45e65b8fbadbec47.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.29195,""y"":0.59137},""p2"":{""x"":0.30667,""y"":0.6343}}}]"	00014d7907--603b941644796245da1b7cbf
https://tlk.s3.yandex.net/sdc/photos/61e34a7e676cf8b8c3de79b6bbf426b4.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.70521,""y"":0.37034},""p2"":{""x"":0.76221,""y"":0.47948}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.84283,""y"":0.42797},""p2"":{""x"":0.89414,""y"":0.59107}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.04153,""y"":0.52117},""p2"":{""x"":0.09039,""y"":0.61805}}}]"	00014d7907--603b942f3c636f34071e5f8c
https://tlk.s3.yandex.net/sdc/photos/80c7e1b7faa08a6d9e0141eb5b104e4a.jpg	"[{""type"":""rectangle"",""data"":{""p1"":{""x"":0.29453,""y"":0.56353},""p2"":{""x"":0.30547,""y"":0.61059}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.72656,""y"":0.37059},""p2"":{""x"":0.75625,""y"":0.49882}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.69219,""y"":0.39059},""p2"":{""x"":0.72422,""y"":0.48824}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.68281,""y"":0.56},""p2"":{""x"":0.69375,""y"":0.59294}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.68047,""y"":0.55529},""p2"":{""x"":0.66875,""y"":0.60235}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.23359,""y"":0.58941},""p2"":{""x"":0.24375,""y"":0.62118}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.22109,""y"":0.59059},""p2"":{""x"":0.23047,""y"":0.62471}}},{""type"":""rectangle"",""data"":{""p1"":{""x"":0.30938,""y"":0.62118},""p2"":{""x"":0.30391,""y"":0.59059}}}]"	00014d7907--603b966505fe9e7bbc0c3706
